date,data
2019-12-12,1.3725
2019-12-13,1.3090
2019-12-16,1.3895
2019-12-17,1.3370
2019-12-18,1.3320
2019-12-19,1.2720
2019-12-20,1.3070
2019-12-23,1.2530
2019-12-24,1.2940
2019-12-26,1.2730
2019-12-27,1.3250
2019-12-30,1.3215
2019-12-31,1.2970
2020-01-02,1.2710
2020-01-03,1.2635
2020-01-06,1.2215
2020-01-07,1.2240
2020-01-08,1.1915
2020-01-09,1.1735
2020-01-10,1.1895
2020-01-13,1.1455
2020-01-14,1.1490
2020-01-15,1.1430
2020-01-16,1.1295
2020-01-17,1.1215
2020-01-20,1.1215
2020-01-21,1.1105
2020-01-22,1.1100
2020-01-23,1.1260
2020-01-24,1.1015
2020-01-27,1.0660
2020-01-28,1.0505
2020-01-29,1.0205
2020-01-30,1.0150
2020-01-31,1.0265
2020-02-03,0.9790
2020-02-04,0.9815
2020-02-05,0.9775
2020-02-06,0.9815
2020-02-07,0.9835
2020-02-10,1.0030
2020-02-11,1.0050
2020-02-12,1.0065
2020-02-13,1.0445
2020-02-14,1.0910
2020-02-17,1.0910
2020-02-18,1.0655
2020-02-19,1.0680
2020-02-20,1.0360
2020-02-21,1.0885
2020-02-24,1.0590
2020-02-25,1.0738
2020-02-26,1.0972
2020-02-27,1.0913
2020-02-28,1.1110
2020-03-02,1.1560
2020-03-03,1.2220
2020-03-04,1.1840
2020-03-05,1.1135
2020-03-06,1.0740
2020-03-09,1.0920
2020-03-10,1.1435
2020-03-11,1.1205
2020-03-12,1.0885
2020-03-13,1.0675
2020-03-16,1.0390
2020-03-17,1.0260
2020-03-18,1.0830
2020-03-19,1.1270
2020-03-20,1.1970
2020-03-23,1.2125
2020-03-24,1.2560
2020-03-25,1.2995
2020-03-26,1.2465
2020-03-27,1.1585
2020-03-30,1.1930
2020-03-31,1.1955
2020-04-01,1.1600
2020-04-02,1.1935
2020-04-03,1.1490
2020-04-06,1.1665
2020-04-07,1.1990
2020-04-08,1.1980
2020-04-09,1.1860
2020-04-13,1.1975
2020-04-14,1.1720
2020-04-15,1.2020
2020-04-16,1.1860
2020-04-17,1.1605
2020-04-20,1.1365
2020-04-21,1.0965
2020-04-22,1.1060
2020-04-23,1.1105
2020-04-24,1.0520
2020-04-27,1.0492
2020-04-28,1.0646
2020-04-29,1.0464
2020-04-30,1.0597
2020-05-01,1.0610
2020-05-04,1.0720
2020-05-05,1.1065
2020-05-06,1.1060
2020-05-07,1.0900
2020-05-08,1.1165
2020-05-11,1.1075
2020-05-12,1.0735
2020-05-13,1.0505
2020-05-14,1.0670
2020-05-15,1.0685
2020-05-18,1.0775
2020-05-19,1.0705
2020-05-20,1.0565
2020-05-21,1.0475
2020-05-22,1.0360
2020-05-25,1.0360
2020-05-26,1.0510
2020-05-27,1.0250
2020-05-28,0.9910
2020-05-29,0.9630
2020-06-01,0.9830
2020-06-02,0.9820
2020-06-03,0.9910
2020-06-04,0.9815
2020-06-05,0.9890
2020-06-08,0.9890
2020-06-09,0.9780
2020-06-10,0.9675
2020-06-11,0.9600
2020-06-12,0.9520
2020-06-15,0.9400
2020-06-16,0.9365
2020-06-17,0.9625
2020-06-18,0.9460
2020-06-19,0.9375
2020-06-22,0.9595
2020-06-23,0.9625
2020-06-24,0.9665
2020-06-25,0.9504
2020-06-26,0.9605
2020-06-29,0.9952
2020-06-30,1.0081
2020-07-01,1.0400
2020-07-02,1.0320
2020-07-06,0.9815
2020-07-07,1.0030
2020-07-08,1.0000
2020-07-09,0.9875
2020-07-10,0.9740
2020-07-13,0.9865
2020-07-14,0.9795
2020-07-15,0.9720
2020-07-16,0.9835
2020-07-17,1.0230
2020-07-20,0.9975
2020-07-21,1.0175
2020-07-22,1.0835
2020-07-23,1.0750
2020-07-24,1.0840
2020-07-27,1.1040
2020-07-28,1.0965
2020-07-29,1.1160
2020-07-30,1.1535
2020-07-31,1.1895
2020-08-03,1.1790
2020-08-04,1.2105
2020-08-05,1.2155
2020-08-06,1.1700
2020-08-07,1.1545
2020-08-10,1.1260
2020-08-11,1.1135
2020-08-12,1.1205
2020-08-13,1.1620
2020-08-14,1.1470
2020-08-17,1.1555
2020-08-18,1.1930
2020-08-19,1.1845
2020-08-20,1.1855
2020-08-21,1.2010
2020-08-24,1.2025
2020-08-25,1.2320
2020-08-26,1.2266
2020-08-27,1.2271
2020-08-28,1.2665
2020-08-31,1.2920
2020-09-01,1.3140
2020-09-02,1.3130
2020-09-03,1.3120
2020-09-04,1.3400
2020-09-07,1.3400
2020-09-08,1.3210
2020-09-09,1.2885
2020-09-10,1.3170
2020-09-11,1.3245
2020-09-14,1.2305
2020-09-15,1.2180
